location,cases,lat,lng
"華中橋",44,25.012936,121.495462
"堤外便道",40,25.030697,121.488200
"台北橋",36,25.063495,121.507844
"中華路1段與忠孝西路1段口",32,25.048137,121.511171
"市民大道1段",31,25.048756,121.516440
"大度路3段",27,25.125331,121.462104
"大度路3段與立德路口",26,25.122818,121.471408
"華江橋",26,25.035588,121.4840759
"信義路5段與松仁路口",25,25.032904,121.568299
"自強隧道",25,25.090881,121.548984
"大度路1段",25,25.121579,121.492054
"大度路2段",25,25.1224971,121.4763364
"竹子湖路",25,25.170307,121.540624
"民權大橋",25,25.064379,121.570981
"大度路3段與關渡路口",24,25.122999,121.469551
"重慶南路1段與襄陽路口",20,25.042345,121.513179
"木柵路5段",20,25.002863,121.587426
"基隆路1段與松壽路口",19,25.035946,121.561471
"大直橋",19,25.076413,121.544366
"中央北路4段與大度路3段口",19,25.124440,121.464899
"重慶南路2段與南海路口",18,25.031938,121.514371
"民權東路5段與撫遠街口",18,25.063252,121.565949
"北安路",18,25.078071,121.533164
"新光路2段",18,25.000425,121.583242
"承德路4段與大南路口",18,25.088814,121.521556
"光復橋",17,25.023924,121.489721
"中正橋",17,25.021543,121.516525
"中山南路與凱達格蘭大道口",17,25.039131,121.517262
"忠孝東路4段與敦化南路1段口",17,25.041530,121.548863
"中山北路3段",17,25.065754,121.522260
"陽金公路",17,25.183351,121.573467
"承德路3段與民族西路口",17,25.068571,121.518399
"市民大道2段與林森北路口",16,25.047802,121.524209
"鄭州路與塔城街口",16,25.050165,121.510510
"南京東路6段與舊宗路1段口",16,25.057136,121.581447
"承德路6段",16,25.104817,121.511973
"中山南路與仁愛路1段口",16,25.039198,121.518080
"承德路7段與立賢路口",16,25.116235,121.505118
"中山南路與信義路1段口",16,25.038702,121.517881
"中山北路3段與民族東路口",16,25.068455,121.522869
"市民大道3段與建國南路1段口",16,25.044754,121.536644
"基隆路1段102巷",16,25.044932,121.565656
"潭美街",15,25.058596,121.589787
"承德路7段與公館路口",15,25.119514,121.501487
"民權東路6段與行愛路口",15,25.066703,121.578490
"重慶南路3段與和平西路1段口",15,25.027282,121.515966
"中山南路與青島西路口",15,25.044514,121.519263
"中山北路4段與通河街口",15,25.079859,121.524383
